"","ï..Service.Center","County","Initial.Services.Sought.at.First.Visit","Attended.Group.Training.","Total.Counseling.Time..hrs","Business.Status","Impact..Capital.Investments","Impact..Created.New.Jobs","Impact..Revenue.Increase","Impact..Started.Business","Company.s.Total.employees","Company.s.Gross.Revenue...","NAICS.code","Ownership.Gender","Owner.s.Hispanic.Origin","Owner.s.Race","started","CC","Male"
"65","Anne Arundel County","Anne Arundel","Training","Yes",10.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Woman-Owned","Hispanic","White/Caucasian",0,0,0
"66","Anne Arundel County","Anne Arundel","Counseling","No",1.75,"Pre-venture/Nascent",2000,0,0,"No",0,0,"42","Woman-Owned","Choose not to respond","White/Caucasian",0,0,0
"67","Anne Arundel County","Anne Arundel","Counseling","No",1,"Pre-venture/Nascent",0,0,0,"No",0,0,"45","Woman-Owned","Choose not to respond","White/Caucasian",0,0,0
"68","Anne Arundel County","Anne Arundel","Counseling","No",2,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Choose not to respond","Non-Hispanic","Asian",0,0,0
"69","Anne Arundel County","Calvert","Counseling","No",2,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","Black or African American",0,0,1
"70","Anne Arundel County","Anne Arundel","Counseling","No",3.25,"Started with SBDC",0,2,0,"Yes",2,60000,"53","Woman-Owned","Non-Hispanic","Black or African American",1,0,0
"71","Anne Arundel County","Anne Arundel","Counseling","No",3,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male-Owned","Non-Hispanic","Asian",0,0,1
"72","Anne Arundel County","Anne Arundel","Counseling","No",4,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Woman-Owned","Hispanic","White/Caucasian",0,0,0
"73","Anne Arundel County","Anne Arundel","Counseling","Yes",33.75,"Started with SBDC",1200,2,4000,"Yes",2,4000,"23","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"74","Anne Arundel County","Howard","Training","Yes",3,"Pre-venture/Nascent",0,0,0,"No",0,0,"31","Woman-Owned","Choose not to respond","White/Caucasian",0,1,0
"75","Anne Arundel County","Queen Annes","Counseling","No",5,"Pre-venture/Nascent",0,0,0,"No",0,0,"45","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"76","Anne Arundel County","Anne Arundel","Counseling","No",9,"Started with SBDC",25000,2,2000,"Yes",2,2000,"31","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"77","Anne Arundel County","Anne Arundel","Training","Yes",9.5,"Started with SBDC",125000,1,0,"Yes",1,60000,"42","Male-Owned","Non-Hispanic","White/Caucasian",1,0,1
"78","Anne Arundel County","Queen Annes","Counseling","No",5,"Pre-venture/Nascent",0,0,0,"No",0,0,"71","Male/Female-Owned","Choose not to respond","Choose not to respond",0,0,0
"79","Anne Arundel County","Anne Arundel","Counseling","No",2.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"81","Woman-Owned","Non-Hispanic","Asian",0,0,0
"80","Anne Arundel County","Anne Arundel","Counseling","No",4.5,"Pre-venture/Nascent",4000,0,0,"No",0,0,"Undefined","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,0,0
"81","Anne Arundel County","Anne Arundel","Counseling","No",34.25,"In Business (> 1 year)",72500,0,172000,"Yes",2,172000,"81","Male/Female-Owned","Non-Hispanic","White/Caucasian",1,0,0
"82","Anne Arundel County","Anne Arundel","Counseling","No",14.25,"Started with SBDC",0,1,0,"Yes",1,60000,"Undefined","Male-Owned","Non-Hispanic","Black or African American",1,0,1
"83","Anne Arundel County","Anne Arundel","Counseling","No",8.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"84","Anne Arundel County","Anne Arundel","Counseling","No",4,"Pre-venture/Nascent",0,0,0,"No",0,0,"42","Male-Owned","Hispanic","White/Caucasian",0,0,1
"85","Anne Arundel County","Anne Arundel","Counseling","Yes",4.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"53","Male-Owned","Hispanic","Black or African American",0,0,1
"86","Anne Arundel County","Anne Arundel","Counseling","Yes",30,"Started with SBDC",95000,4,16323,"Yes",4,16323,"71","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"87","Anne Arundel County","Anne Arundel","Counseling","No",25.25,"Started with SBDC",30000,6,0,"Yes",6,40000,"54","Male-Owned","Non-Hispanic","White/Caucasian",1,0,1
"88","Anne Arundel County","Anne Arundel","Training","Yes",8.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","Black or African American",0,0,0
"89","Anne Arundel County","Anne Arundel","Counseling","No",6.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"81","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"90","Anne Arundel County","Anne Arundel","Counseling","No",8.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Woman-Owned","Choose not to respond","Choose not to respond",0,0,0
"91","Anne Arundel County","Anne Arundel","Counseling","No",47.25,"Started with SBDC",2e+05,0,0,"Yes",1,225,"33","Male/Female-Owned","Non-Hispanic","White/Caucasian",1,0,0
"92","Anne Arundel County","Anne Arundel","Counseling","Yes",58.75,"In Business (> 1 year)",124938,4,161000,"Yes",4,165000,"48","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"93","Anne Arundel County","Anne Arundel","Counseling","No",20.5,"Started with SBDC",39000,1,0,"Yes",1,0,"54","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"94","Anne Arundel County","Outside of Maryland","Counseling","No",11.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"95","Anne Arundel County","Anne Arundel","Counseling","No",52.75,"Started with SBDC",20000,0,0,"Yes",1,60000,"71","Woman-Owned","Non-Hispanic","Black or African American",1,0,0
"96","Anne Arundel County","Anne Arundel","Training","Yes",24.75,"Started with SBDC",2e+05,12,1077000,"Yes",12,1200000,"54","Male-Owned","Non-Hispanic","Native American",1,0,1
"97","Anne Arundel County","Anne Arundel","Counseling","No",11.5,"Started with SBDC",0,2,0,"Yes",2,60000,"45","Male-Owned","Non-Hispanic","White/Caucasian",1,0,1
"98","Anne Arundel County","Anne Arundel","Counseling","No",51.5,"Started with SBDC",12000,1,800,"Yes",1,800,"61","Woman-Owned (WOSB) Certified","Non-Hispanic","White/Caucasian",1,0,0
"99","Anne Arundel County","Anne Arundel","Counseling","No",2,"Started with SBDC",6000,0,0,"Yes",1,60000,"56","Male/Female-Owned","Non-Hispanic","White/Caucasian",1,0,0
"100","Anne Arundel County","Anne Arundel","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"101","Anne Arundel County","Anne Arundel","Counseling","No",18,"Started with SBDC",0,1,0,"Yes",1,60000,"48","Male-Owned","Non-Hispanic","Native American",1,0,1
"102","Anne Arundel County","Anne Arundel","Counseling","Yes",25.5,"Started with SBDC",0,1,0,"Yes",1,60000,"49","Male-Owned","Non-Hispanic","Black or African American",1,0,1
"103","Anne Arundel County","Anne Arundel","Counseling","No",13,"Started with SBDC",0,1,0,"Yes",1,60000,"56","Male-Owned","Non-Hispanic","Black or African American",1,0,1
"104","Anne Arundel County","Anne Arundel","Counseling","No",159.5,"Started with SBDC",0,5,262000,"Yes",6,262000,"54","Male/Female-Owned","Non-Hispanic","White/Caucasian",1,0,0
"105","Anne Arundel County","Anne Arundel","Training","Yes",5.25,"Started with SBDC",0,1,0,"Yes",1,60000,"23","Male-Owned","Choose not to respond","White/Caucasian",1,0,1
"106","Anne Arundel County","Anne Arundel","Counseling","Yes",2.5,"Started with SBDC",0,1,0,"Yes",1,60000,"54","Woman-Owned","Hispanic","White/Caucasian",1,0,0
"107","Anne Arundel County","Anne Arundel","Training","Yes",27.25,"Started with SBDC",43000,2,0,"Yes",2,60000,"61","Male/Female-Owned","Choose not to respond","Choose not to respond",1,0,0
"108","Anne Arundel County","Baltimore","Counseling","No",2.5,"Pre-venture/Nascent",5000,0,0,"No",0,0,"Undefined","Male-Owned","Choose not to respond","Choose not to respond",0,1,1
"109","Anne Arundel County","Anne Arundel","Counseling","No",58,"Started with SBDC",0,1,2500,"Yes",1,6000,"54","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"110","Anne Arundel County","Anne Arundel","Counseling","No",9,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","White/Caucasian",0,0,0
"111","Anne Arundel County","Anne Arundel","Training","Yes",57,"Started with SBDC",24000,4,125000,"Yes",4,125000,"54","Male/Female-Owned","Non-Hispanic","Black or African American",1,0,0
"112","Anne Arundel County","Howard","Training","Yes",163,"Started with SBDC",825000,11,1500000,"Yes",11,1500000,"54","Male/Female-Owned","Non-Hispanic","Choose not to respond",1,1,0
"113","Anne Arundel County","Anne Arundel","Training","Yes",5.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Hispanic","White/Caucasian",0,0,1
"114","Anne Arundel County","Anne Arundel","Counseling","No",6.25,"Started with SBDC",160000,1,0,"Yes",1,60000,"45","Male-Owned","Non-Hispanic","White/Caucasian",1,0,1
"115","Anne Arundel County","Anne Arundel","Counseling","No",9,"Started with SBDC",0,1,300,"Yes",1,300,"45","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"116","Anne Arundel County","Anne Arundel","Counseling","Yes",6,"Started with SBDC",0,0,0,"Yes",1,60000,"Undefined","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"117","Anne Arundel County","Anne Arundel","Counseling","No",3.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"118","Anne Arundel County","Anne Arundel","Training","Yes",7.25,"Started with SBDC",2000,1,1500,"Yes",1,1500,"33","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"119","Anne Arundel County","Harford","Training","Yes",20.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"52","Choose not to respond","Non-Hispanic","Choose not to respond",0,1,0
"120","Anne Arundel County","Anne Arundel","Training","Yes",2.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","White/Caucasian",0,0,0
"121","Anne Arundel County","Anne Arundel","Training","Yes",10.25,"Pre-venture/Nascent",10000,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","White/Caucasian",0,0,0
"122","Anne Arundel County","Anne Arundel","Training","Yes",24.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Woman-Owned","Choose not to respond","White/Caucasian",0,0,0
"123","Anne Arundel County","Anne Arundel","Counseling","No",3.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"124","Anne Arundel County","Anne Arundel","Training","Yes",14.25,"Started with SBDC",0,1,5180,"Yes",1,5180,"61","Woman-Owned","Non-Hispanic","Black or African American",1,0,0
"125","Anne Arundel County","Anne Arundel","Counseling","No",11.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male/Female-Owned","Non-Hispanic","Black or African American",0,0,0
"126","Anne Arundel County","Anne Arundel","Counseling","No",9,"Pre-venture/Nascent",0,0,0,"No",0,0,"42","Choose not to respond","Choose not to respond","Choose not to respond",0,0,0
"127","Anne Arundel County","Anne Arundel","Counseling","No",6.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","Black or African American",0,0,0
"128","Anne Arundel County","Anne Arundel","Training","Yes",1.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","Black or African American",0,0,1
"129","Anne Arundel County","Anne Arundel","Counseling","No",4.25,"Pre-venture/Nascent",5000,0,0,"No",0,0,"23","Choose not to respond","Non-Hispanic","Black or African American",0,0,0
"130","Anne Arundel County","Anne Arundel","Counseling","No",1,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Choose not to respond","Black or African American",0,0,0
"131","Anne Arundel County","Anne Arundel","Counseling","No",4.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"32","Woman-Owned","Non-Hispanic","Black or African American",0,0,0
"132","Anne Arundel County","Anne Arundel","Training","Yes",6.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","White/Caucasian",0,0,0
"133","Anne Arundel County","Anne Arundel","Training","Yes",2.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","White/Caucasian",0,0,0
"134","Anne Arundel County","Anne Arundel","Counseling","No",5.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"71","Male-Owned","Choose not to respond","White/Caucasian",0,0,1
"135","Anne Arundel County","Anne Arundel","Training","Yes",21.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","Black or African American",0,0,0
"136","Anne Arundel County","Anne Arundel","Counseling","No",0.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Choose not to respond","Non-Hispanic","Black or African American",0,0,0
"137","Anne Arundel County","Anne Arundel","Counseling","No",55.25,"Started with SBDC",240,0,223724,"Yes",1,253000,"56","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"138","Anne Arundel County","Anne Arundel","Counseling","No",6.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","Black or African American",0,0,0
"139","Anne Arundel County","Anne Arundel","Counseling","No",1,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Male/Female-Owned","Non-Hispanic","Black or African American",0,0,0
"140","Anne Arundel County","Anne Arundel","Counseling","No",65.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","Choose not to respond",0,0,1
"141","Anne Arundel County","Anne Arundel","Counseling","No",10.25,"Started with SBDC",0,1,500,"Yes",1,500,"33","Male-Owned","Non-Hispanic","White/Caucasian",1,0,1
"142","Anne Arundel County","Anne Arundel","Training","Yes",25.5,"Started with SBDC",32000,2,53000,"Yes",2,53000,"56","Male-Owned","Non-Hispanic","White/Caucasian",1,0,1
"143","Anne Arundel County","Anne Arundel","Counseling","No",3,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"144","Anne Arundel County","Anne Arundel","Counseling","No",21.75,"Started with SBDC",1000,1,5000,"Yes",1,5000,"54","Woman-Owned (WOSB) Certified","Non-Hispanic","Black or African American",1,0,0
"145","Anne Arundel County","Anne Arundel","Counseling","No",4.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","Black or African American",0,0,0
"146","Anne Arundel County","Anne Arundel","Counseling","No",19.5,"Started with SBDC",225000,1,0,"Yes",1,60000,"71","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"147","Anne Arundel County","Anne Arundel","Counseling","No",9.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male/Female-Owned","Non-Hispanic","Choose not to respond",0,0,0
"148","Anne Arundel County","Anne Arundel","Counseling","No",5,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Choose not to respond","Non-Hispanic","Black or African American",0,0,0
"149","Anne Arundel County","Kent","Counseling","Yes",3.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","Black or African American",0,0,1
"150","Anne Arundel County","Anne Arundel","Counseling","No",7.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","White/Caucasian",0,0,0
